contry;exp.grp;time;gender;date.birth;prof;drug.use;art.gen;art.cli;def.rct;def.ss;understand;confident1;vocabhard;adapted;full.text;Bbetter;Nbetter;NequalB;Nfound;Bfound;Nfirst;Bfirst;Afirst;Agood.N;Agood.B;Agood.A;Agood.stop;Abad.N;Abad.B;Abad.A;Abad.stop;confident2;impact;similar;want.results
FR;NoSpin006;23/05/2017 - 17:21;F;1990-1999;Health student;No;1 to 5;1 to 5;1;2;5;5;4;6;4;1;1;5;6;3;4;4;6;1;1;7;1;4;4;1;7;5;5;3;Yes
FR;NoSpin006;25/04/2017 - 19:10;F;1990-1999;Health student;No;NA;1 to 5;7;6;7;7;1;4;6;1;1;7;6;6;1;1;1;5;5;3;1;5;5;1;7;4;4;7;Yes
FR;Spin004;25/04/2017 - 18:56;F;1990-1999;Health student;Yes;NA;1 to 5;7;7;7;7;1;7;6;1;7;1;7;1;7;1;1;1;1;7;1;7;1;1;1;6;6;7;Yes
FR;NoSpin006;08/05/2017 - 07:24;M;1990-1999;Health student;No;1 to 5;6 to 10;7;7;7;7;1;4;6;1;1;7;6;6;2;2;1;4;4;1;7;4;4;1;6;7;5;4;No
FR;NoSpin006;03/06/2017 - 21:42;F;1990-1999;Health student;No;1 to 5;1 to 5;5;5;6;6;7;7;3;1;1;1;7;7;1;1;5;1;1;4;7;4;4;1;7;5;4;4;Yes
FR;Spin006;09/05/2017 - 15:32;F;1990-1999;Health student;Yes;1 to 5;1 to 5;5;4;7;7;2;7;6;1;7;1;7;1;7;3;1;6;1;3;1;6;2;1;1;6;6;7;Yes
FR;NoSpin006;01/05/2017 - 15:41;F;1990-1999;Health student;Yes;1less;1less;3;3;6;5;2;6;2;1;2;7;6;5;7;7;7;6;6;3;1;6;6;1;2;7;6;6;Yes
FR;Spin006;25/04/2017 - 18:48;M;1990-1999;Health student;Yes;NA;1 to 5;7;7;7;7;1;2;6;2;6;2;7;3;5;4;7;3;2;6;1;5;4;4;2;2;1;6;Yes
FR;NoSpin006;09/05/2017 - 11:18;F;1990-1999;Health student;Yes;6 to 10;6 to 10;7;7;7;7;5;7;7;1;1;7;7;1;7;5;1;7;4;1;1;7;5;1;1;7;7;7;Yes
FR;NoSpin006;26/04/2017 - 14:44;M;1990-1999;Health student;No;6 to 10;1less;7;7;7;7;1;6;2;1;1;7;6;6;1;1;1;4;4;1;6;4;4;1;7;1;1;7;Yes
FR;NoSpin006;08/05/2017 - 07:29;F;1990-1999;Health student;Yes;1less;1less;7;7;7;6;2;7;4;1;1;7;5;4;1;1;7;1;1;1;7;2;3;1;1;2;1;7;Yes
FR;Spin006;25/04/2017 - 17:42;F;1990-1999;Health student;Yes;NA;1less;5;7;7;7;1;5;3;1;7;1;7;1;6;5;5;4;1;6;1;7;1;4;1;5;5;4;Yes
FR;Spin004;01/05/2017 - 21:05;F;1990-1999;Health student;Yes;1 to 5;1 to 5;5;5;6;6;4;6;6;2;6;2;6;4;4;1;4;5;2;3;4;6;2;2;3;6;4;5;Yes
FR;NoSpin006;22/05/2017 - 14:51;F;1990-1999;Health student;No;1 to 5;1 to 5;7;7;7;7;2;7;4;1;1;7;4;4;5;5;3;5;5;4;6;6;6;1;6;7;5;3;Yes
FR;Spin006;10/05/2017 - 15:57;M;1990-1999;Health student;No;1 to 5;1less;2;3;4;6;7;3;1;7;7;7;1;7;5;3;7;7;6;7;5;7;1;1;1;5;2;1;No
FR;Spin004;13/05/2017 - 17:08;M;1990-1999;Health student;No;1 to 5;1 to 5;6;7;6;6;4;7;6;2;6;5;6;3;2;1;2;5;3;2;7;1;1;1;7;5;4;6;Yes
FR;Spin006;24/05/2017 - 10:12;F;1990-1999;Health student;Yes;1less;1less;6;7;6;6;2;6;4;3;6;3;7;4;6;4;3;3;1;6;1;5;1;1;2;6;5;4;Yes
FR;NoSpin004;17/05/2017 - 21:13;F;1990-1999;Health student;Yes;1 to 5;1 to 5;4;6;7;6;2;6;1;2;6;2;7;5;7;1;3;1;1;7;3;6;1;1;6;2;2;6;Yes
FR;Spin004;04/06/2017 - 15:06;F;1990-1999;Health student;Yes;1less;1less;5;5;7;6;6;6;4;1;7;1;7;2;7;3;3;4;1;5;1;7;4;2;1;7;7;4;Yes
FR;NoSpin006;09/05/2017 - 12:29;F;1990-1999;Health student;No;1 to 5;1 to 5;5;5;7;7;1;7;6;1;1;7;6;5;5;4;6;4;4;6;1;7;6;1;1;7;6;5;Yes
FR;NoSpin004;02/05/2017 - 16:37;F;1990-1999;Health student;Yes;1 to 5;1 to 5;7;5;6;6;2;5;6;1;7;1;7;1;7;6;6;7;5;6;2;7;5;4;1;6;4;6;Yes
FR;Spin006;24/05/2017 - 12:53;F;1990-1999;Health student;Yes;1 to 5;1less;1;1;4;5;7;7;7;6;2;1;7;5;6;5;7;6;3;6;1;6;3;1;1;5;5;4;No
FR;Spin004;09/05/2017 - 12:23;F;1990-1999;Health student;Yes;1 to 5;1less;3;3;7;6;4;7;7;1;7;1;7;2;5;3;7;5;2;4;6;6;2;1;6;6;7;7;Yes
FR;NoSpin004;25/04/2017 - 17:06;F;1990-1999;Health student;Yes;NA;1less;6;6;7;6;2;5;1;1;7;1;7;1;7;1;6;1;1;7;1;7;1;1;1;6;3;5;Yes
FR;NoSpin004;09/05/2017 - 11:35;M;1990-1999;Health student;Yes;6 to 10;1 to 5;7;7;7;7;2;7;5;3;2;7;5;7;4;6;1;5;5;5;1;6;6;4;1;7;7;7;Yes
FR;NoSpin004;17/05/2017 - 18:14;F;1990-1999;Health student;Yes;1less;1less;5;5;5;3;7;1;3;4;4;7;4;7;4;7;4;1;1;1;7;7;7;1;1;5;6;6;Yes
FR;Spin004;07/05/2017 - 14:21;F;1990-1999;Health student;Yes;1less;1less;7;7;7;7;1;7;4;1;7;1;7;4;7;4;4;6;1;7;1;7;4;1;1;5;7;7;No
FR;Spin006;10/05/2017 - 17:10;F;1990-1999;Health student;Yes;1less;1less;7;7;7;7;1;7;7;3;6;4;7;6;7;4;6;7;6;5;2;6;6;2;7;7;5;5;No
FR;Spin006;12/05/2017 - 15:52;F;1990-1999;Health student;Yes;1less;1less;3;4;7;6;3;4;7;1;1;7;3;6;1;1;7;5;5;5;1;5;5;1;7;5;6;7;Yes
FR;Spin004;13/05/2017 - 11:27;M;1990-1999;Health student;Yes;1 to 5;1less;6;4;7;7;1;6;7;1;7;1;7;3;7;1;1;6;1;2;1;7;1;1;1;7;6;7;Yes
FR;NoSpin006;10/05/2017 - 12:22;M;1990-1999;Health student;Yes;1less;1less;6;6;6;6;7;6;4;1;1;7;7;7;7;7;1;7;7;1;1;7;7;1;1;7;7;7;Yes
FR;Spin006;08/05/2017 - 08:12;F;1990-1999;Health student;Yes;1less;1less;7;7;7;7;6;7;1;1;7;1;7;7;7;4;4;1;1;7;4;7;1;1;1;4;4;4;Yes
FR;NoSpin004;08/05/2017 - 10:18;F;2000-2009;Health student;Yes;1less;1less;3;3;5;6;4;7;7;1;7;1;7;1;4;1;7;3;1;5;7;7;1;2;6;5;3;5;Yes
